batch	lang	kind	n	files	ids
vn.untrue.02	vn	untrue	19	chapters/dates.vn.qmd,chapters/deduplication.vn.qmd,chapters/diagrams.vn.qmd,chapters/directories.vn.qmd,chapters/editorial_style.vn.qmd,chapters/epicurves.vn.qmd,chapters/factors.vn.qmd,chapters/flexdashboard.vn.qmd,chapters/ggplot_basics.vn.qmd,chapters/grouping.vn.qmd,chapters/heatmaps.vn.qmd	dates.vn#7,deduplication.vn#1,diagrams.vn#1,diagrams.vn#2,diagrams.vn#4,directories.vn#3,editorial_style.vn#3,editorial_style.vn#4,epicurves.vn#1,epicurves.vn#3,epicurves.vn#5,factors.vn#2,flexdashboard.vn#1,ggplot_basics.vn#1,ggplot_basics.vn#2,ggplot_basics.vn#3,grouping.vn#1,grouping.vn#2,heatmaps.vn#1
vn.untrue.03	vn	untrue	19	chapters/heatmaps.vn.qmd,chapters/help.vn.qmd,chapters/importing.vn.qmd,chapters/interactive_plots.vn.qmd,chapters/iteration.vn.qmd,chapters/joining_matching.vn.qmd,chapters/missing_data.vn.qmd,chapters/network_drives.vn.qmd,chapters/packages_suggested.vn.qmd,chapters/phylogenetic_trees.vn.qmd	heatmaps.vn#3,help.vn#3,importing.vn#4,importing.vn#5,interactive_plots.vn#1,iteration.vn#1,iteration.vn#2,iteration.vn#3,joining_matching.vn#1,joining_matching.vn#2,joining_matching.vn#3,missing_data.vn#2,missing_data.vn#4,missing_data.vn#6,network_drives.vn#1,network_drives.vn#2,network_drives.vn#3,packages_suggested.vn#1,phylogenetic_trees.vn#1
vn.untrue.04	vn	untrue	19	chapters/pivoting.vn.qmd,chapters/regression.vn.qmd,chapters/reportfactory.vn.qmd,chapters/rmarkdown.vn.qmd,chapters/shiny_basics.vn.qmd,chapters/standardization.vn.qmd,chapters/stat_tests.vn.qmd	pivoting.vn#1,regression.vn#7,reportfactory.vn#1,reportfactory.vn#2,reportfactory.vn#3,rmarkdown.vn#1,rmarkdown.vn#2,rmarkdown.vn#3,rmarkdown.vn#5,shiny_basics.vn#1,shiny_basics.vn#2,shiny_basics.vn#3,shiny_basics.vn#4,shiny_basics.vn#5,standardization.vn#1,stat_tests.vn#2,stat_tests.vn#3,stat_tests.vn#4,stat_tests.vn#5
vn.untrue.05	vn	untrue	17	chapters/survey_analysis.vn.qmd,chapters/survival_analysis.vn.qmd,chapters/tables_descriptive.vn.qmd,chapters/tables_presentation.vn.qmd,chapters/transmission_chains.vn.qmd,chapters/writing_functions.vn.qmd	survey_analysis.vn#1,survival_analysis.vn#1,survival_analysis.vn#2,survival_analysis.vn#4,survival_analysis.vn#5,tables_descriptive.vn#2,tables_descriptive.vn#4,tables_descriptive.vn#5,tables_presentation.vn#1,tables_presentation.vn#2,tables_presentation.vn#4,transmission_chains.vn#2,transmission_chains.vn#3,writing_functions.vn#1,writing_functions.vn#3,writing_functions.vn#4,writing_functions.vn#5
vn.missing.01	vn	missing	17	chapters/basics.vn.qmd,chapters/characters_strings.vn.qmd,chapters/cleaning.vn.qmd,chapters/combination_analysis.vn.qmd,chapters/data_used.vn.qmd,chapters/directories.vn.qmd,chapters/editorial_style.vn.qmd,chapters/epicurves.vn.qmd	basics.vn#6,basics.vn#7,basics.vn#9,characters_strings.vn#2,characters_strings.vn#3,cleaning.vn#4,combination_analysis.vn#2,combination_analysis.vn#3,data_used.vn#1,data_used.vn#4,data_used.vn#5,directories.vn#1,directories.vn#2,editorial_style.vn#1,editorial_style.vn#2,epicurves.vn#2,epicurves.vn#6
vn.missing.02	vn	missing	17	chapters/epicurves.vn.qmd,chapters/errors.vn.qmd,chapters/factors.vn.qmd,chapters/ggplot_tips.vn.qmd,chapters/heatmaps.vn.qmd,chapters/help.vn.qmd,chapters/importing.vn.qmd,chapters/interactive_plots.vn.qmd,chapters/missing_data.vn.qmd	epicurves.vn#7,errors.vn#1,errors.vn#2,factors.vn#1,factors.vn#3,factors.vn#4,factors.vn#5,ggplot_tips.vn#1,ggplot_tips.vn#2,heatmaps.vn#2,help.vn#1,help.vn#2,importing.vn#1,importing.vn#3,interactive_plots.vn#2,missing_data.vn#1,missing_data.vn#5
vn.missing.03	vn	missing	17	chapters/moving_average.vn.qmd,chapters/network_drives.vn.qmd,chapters/pivoting.vn.qmd,chapters/r_projects.vn.qmd,chapters/regression.vn.qmd,chapters/stat_tests.vn.qmd,chapters/survey_analysis.vn.qmd,chapters/survival_analysis.vn.qmd,chapters/tables_descriptive.vn.qmd,chapters/transition_to_r.vn.qmd,chapters/writing_functions.vn.qmd	moving_average.vn#1,network_drives.vn#4,pivoting.vn#2,pivoting.vn#3,r_projects.vn#2,r_projects.vn#3,regression.vn#1,regression.vn#2,regression.vn#4,stat_tests.vn#6,survey_analysis.vn#2,survey_analysis.vn#3,survival_analysis.vn#3,survival_analysis.vn#6,tables_descriptive.vn#3,transition_to_r.vn#1,writing_functions.vn#2
vn.code_mismatch.01	vn	code_mismatch	12	chapters/cleaning.vn.qmd,chapters/dates.vn.qmd,chapters/importing.vn.qmd,chapters/missing_data.vn.qmd,chapters/regression.vn.qmd,chapters/rmarkdown.vn.qmd,chapters/standardization.vn.qmd,chapters/tables_presentation.vn.qmd,chapters/time_series.vn.qmd,chapters/transmission_chains.vn.qmd	cleaning.vn#1,dates.vn#2,importing.vn#2,missing_data.vn#3,regression.vn#5,regression.vn#6,rmarkdown.vn#4,standardization.vn#2,tables_presentation.vn#3,time_series.vn#1,time_series.vn#2,transmission_chains.vn#1
vn.added.01	vn	added	15	chapters/age_pyramid.vn.qmd,chapters/contact_tracing.vn.qmd,chapters/data_used.vn.qmd,chapters/dates.vn.qmd,chapters/epicurves.vn.qmd,chapters/help.vn.qmd,chapters/r_projects.vn.qmd,chapters/regression.vn.qmd,chapters/standardization.vn.qmd,chapters/stat_tests.vn.qmd,chapters/tables_descriptive.vn.qmd	age_pyramid.vn#2,contact_tracing.vn#3,contact_tracing.vn#4,data_used.vn#2,data_used.vn#3,dates.vn#3,dates.vn#4,epicurves.vn#4,epicurves.vn#8,help.vn#4,r_projects.vn#1,regression.vn#3,standardization.vn#3,stat_tests.vn#1,tables_descriptive.vn#1
odd-fr.untrue.01	fr	untrue	5	chapters/collaboration.fr.qmd	collaboration.fr#2,collaboration.fr#3,collaboration.fr#4,collaboration.fr#6,collaboration.fr#7
odd-fr.missing.01	fr	missing	6	chapters/collaboration.fr.qmd	collaboration.fr#8,collaboration.fr#9,collaboration.fr#10,collaboration.fr#12,collaboration.fr#13,collaboration.fr#14
odd-pt.untrue.01	pt	untrue	1	chapters/deduplication.pt.qmd	deduplication.pt#5
odd-pt.code_mismatch.01	pt	code_mismatch	3	chapters/deduplication.pt.qmd	deduplication.pt#1,deduplication.pt#2,deduplication.pt#3
odd-ru.untrue.01	ru	untrue	1	chapters/transmission_chains.ru.qmd	transmission_chains.ru#5
odd-tr.alignment_mismatch.01	tr	alignment_mismatch	1	chapters/shiny_basics.tr.qmd	shiny_basics.tr#16
odd-vn.untrue.01	vn	untrue	7	chapters/collaboration.vn.qmd,chapters/diagrams.vn.qmd	collaboration.vn#1,collaboration.vn#2,collaboration.vn#3,collaboration.vn#4,collaboration.vn#6,collaboration.vn#8,diagrams.vn#3
odd-vn.missing.01	vn	missing	1	chapters/collaboration.vn.qmd	collaboration.vn#7
odd-vn.added.01	vn	added	1	chapters/collaboration.vn.qmd	collaboration.vn#5
def-es.01	es	deferred	10	chapters/dates.es.qmd,chapters/epicurves.es.qmd,chapters/ggplot_tips.es.qmd,chapters/grouping.es.qmd,chapters/regression.es.qmd,chapters/standardization.es.qmd,chapters/stat_tests.es.qmd,chapters/survey_analysis.es.qmd,chapters/survival_analysis.es.qmd	dates.es#2,epicurves.es#4,ggplot_tips.es#3,grouping.es#1,regression.es#1,standardization.es#1,stat_tests.es#1,survey_analysis.es#1,survival_analysis.es#2,survival_analysis.es#3
def-fr.01	fr	deferred	19	chapters/diagrams.fr.qmd,chapters/directories.fr.qmd,chapters/flexdashboard.fr.qmd,chapters/grouping.fr.qmd,chapters/iteration.fr.qmd,chapters/packages_suggested.fr.qmd,chapters/phylogenetic_trees.fr.qmd,chapters/standardization.fr.qmd,chapters/survey_analysis.fr.qmd,chapters/transmission_chains.fr.qmd,chapters/writing_functions.fr.qmd	diagrams.fr#3,directories.fr#2,flexdashboard.fr#11,flexdashboard.fr#2,grouping.fr#1,grouping.fr#2,iteration.fr#10,iteration.fr#11,iteration.fr#8,packages_suggested.fr#1,packages_suggested.fr#2,phylogenetic_trees.fr#2,standardization.fr#2,survey_analysis.fr#1,transmission_chains.fr#3,transmission_chains.fr#5,transmission_chains.fr#6,transmission_chains.fr#7,writing_functions.fr#4
def-jp.01	jp	deferred	12	chapters/deduplication.jp.qmd,chapters/diagrams.jp.qmd,chapters/grouping.jp.qmd,chapters/heatmaps.jp.qmd,chapters/interactive_plots.jp.qmd,chapters/joining_matching.jp.qmd,chapters/moving_average.jp.qmd,chapters/survey_analysis.jp.qmd,chapters/tables_presentation.jp.qmd	deduplication.jp#2,diagrams.jp#2,diagrams.jp#3,grouping.jp#2,grouping.jp#4,heatmaps.jp#2,heatmaps.jp#3,interactive_plots.jp#5,joining_matching.jp#2,moving_average.jp#6,survey_analysis.jp#review,tables_presentation.jp#5
def-pt.01	pt	deferred	14	chapters/age_pyramid.pt.qmd,chapters/basics.pt.qmd,chapters/characters_strings.pt.qmd,chapters/cleaning.pt.qmd,chapters/combination_analysis.pt.qmd,chapters/deduplication.pt.qmd,chapters/epicurves.pt.qmd,chapters/heatmaps.pt.qmd	age_pyramid.pt#2,age_pyramid.pt#5,basics.pt#4,basics.pt#5,characters_strings.pt#1,characters_strings.pt#2,cleaning.pt#1,combination_analysis.pt#2,deduplication.pt#1,deduplication.pt#2,deduplication.pt#3,deduplication.pt#4,epicurves.pt#5,heatmaps.pt#12
def-pt.02	pt	deferred	13	chapters/heatmaps.pt.qmd,chapters/importing.pt.qmd,chapters/shiny_basics.pt.qmd,chapters/standardization.pt.qmd	heatmaps.pt#13,heatmaps.pt#3,heatmaps.pt#4,heatmaps.pt#5,heatmaps.pt#6,heatmaps.pt#7,heatmaps.pt#8,heatmaps.pt#9,importing.pt#review,shiny_basics.pt#6,shiny_basics.pt#7,shiny_basics.pt#8,standardization.pt#review
def-ru.01	ru	deferred	2	chapters/editorial_style.ru.qmd,chapters/standardization.ru.qmd	editorial_style.ru#1,standardization.ru#4
def-tr.01	tr	deferred	5	chapters/combination_analysis.tr.qmd,chapters/dates.tr.qmd,chapters/deduplication.tr.qmd,chapters/ggplot_basics.tr.qmd,chapters/transmission_chains.tr.qmd	combination_analysis.tr#3,dates.tr#3,deduplication.tr#8,ggplot_basics.tr#10,transmission_chains.tr#6
def-vn.01	vn	deferred	6	chapters/cleaning.vn.qmd,chapters/contact_tracing.vn.qmd,chapters/dates.vn.qmd,chapters/epicurves.vn.qmd	cleaning.vn#1,contact_tracing.vn#3,dates.vn#3,dates.vn#6,epicurves.vn#review,epicurves.vn#review2
